### Instance Data ###

I (production plants):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]

a_ij (transportation cost from plants I to centers C):
0 0 118
0 1 141
0 2 101
0 3 37
0 4 79
0 5 159
0 6 68
0 7 58
0 8 39
0 9 76
0 10 13
0 11 65
0 12 44
0 13 111
0 14 140
0 15 181
0 16 72
0 17 52
0 18 129
0 19 74
0 20 18
0 21 46
0 22 56
0 23 38
0 24 27
0 25 38
0 26 49
0 27 62
0 28 125
0 29 59
0 30 94
0 31 84
0 32 171
0 33 99
0 34 91
0 35 19
0 36 85
0 37 91
0 38 66
0 39 155
1 0 80
1 1 104
1 2 63
1 3 10
1 4 42
1 5 121
1 6 31
1 7 35
1 8 68
1 9 39
1 10 23
1 11 31
1 12 17
1 13 74
1 14 103
1 15 144
1 16 34
1 17 14
1 18 92
1 19 40
1 20 35
1 21 39
1 22 46
1 23 1
1 24 59
1 25 64
1 26 82
1 27 92
1 28 88
1 29 50
1 30 57
1 31 59
1 32 133
1 33 62
1 34 53
1 35 20
1 36 52
1 37 54
1 38 80
1 39 117
2 0 81
2 1 108
2 2 104
2 3 53
2 4 29
2 5 95
2 6 37
2 7 91
2 8 124
2 9 62
2 10 76
2 11 29
2 12 74
2 13 105
2 14 60
2 15 101
2 16 46
2 17 55
2 18 49
2 19 15
2 20 92
2 21 95
2 22 102
2 23 55
2 24 115
2 25 120
2 26 139
2 27 148
2 28 144
2 29 107
2 30 44
2 31 115
2 32 91
2 33 116
2 34 55
2 35 70
2 36 4
2 37 88
2 38 137
2 39 75
3 0 45
3 1 68
3 2 38
3 3 46
3 4 36
3 5 86
3 6 28
3 7 25
3 8 58
3 9 4
3 10 59
3 11 41
3 12 28
3 13 39
3 14 67
3 15 108
3 16 19
3 17 20
3 18 56
3 19 50
3 20 54
3 21 29
3 22 36
3 23 33
3 24 49
3 25 54
3 26 73
3 27 82
3 28 78
3 29 41
3 30 21
3 31 49
3 32 98
3 33 50
3 34 18
3 35 55
3 36 61
3 37 22
3 38 71
3 39 82
4 0 64
4 1 91
4 2 87
4 3 60
4 4 11
4 5 78
4 6 20
4 7 74
4 8 107
4 9 45
4 10 73
4 11 37
4 12 56
4 13 88
4 14 53
4 15 94
4 16 29
4 17 38
4 18 42
4 19 21
4 20 75
4 21 78
4 22 85
4 23 48
4 24 98
4 25 103
4 26 121
4 27 131
4 28 127
4 29 90
4 30 27
4 31 98
4 32 84
4 33 99
4 34 38
4 35 69
4 36 12
4 37 71
4 38 120
4 39 68
5 0 65
5 1 88
5 2 48
5 3 33
5 4 56
5 5 106
5 6 48
5 7 5
5 8 38
5 9 23
5 10 39
5 11 61
5 12 11
5 13 58
5 14 87
5 15 128
5 16 39
5 17 30
5 18 76
5 19 70
5 20 34
5 21 9
5 22 16
5 23 30
5 24 29
5 25 34
5 26 53
5 27 62
5 28 71
5 29 21
5 30 41
5 31 31
5 32 118
5 33 46
5 34 38
5 35 35
5 36 81
5 37 38
5 38 51
5 39 102
6 0 107
6 1 130
6 2 90
6 3 15
6 4 68
6 5 148
6 6 58
6 7 48
6 8 62
6 9 66
6 10 14
6 11 39
6 12 33
6 13 100
6 14 130
6 15 170
6 16 61
6 17 41
6 18 118
6 19 54
6 20 30
6 21 36
6 22 45
6 23 28
6 24 53
6 25 58
6 26 77
6 27 86
6 28 114
6 29 48
6 30 83
6 31 74
6 32 160
6 33 88
6 34 80
6 35 8
6 36 68
6 37 80
6 38 75
6 39 144
7 0 79
7 1 103
7 2 63
7 3 11
7 4 41
7 5 120
7 6 30
7 7 40
7 8 73
7 9 38
7 10 24
7 11 26
7 12 22
7 13 73
7 14 102
7 15 143
7 16 33
7 17 13
7 18 91
7 19 35
7 20 40
7 21 44
7 22 51
7 23 3
7 24 64
7 25 69
7 26 87
7 27 96
7 28 92
7 29 55
7 30 56
7 31 63
7 32 132
7 33 64
7 34 52
7 35 21
7 36 47
7 37 53
7 38 85
7 39 116
8 0 65
8 1 88
8 2 71
8 3 26
8 4 26
8 5 106
8 6 16
8 7 58
8 8 91
8 9 29
8 10 42
8 11 8
8 12 40
8 13 71
8 14 88
8 15 128
8 16 19
8 17 22
8 18 76
8 19 17
8 20 58
8 21 62
8 22 69
8 23 21
8 24 82
8 25 87
8 26 105
8 27 114
8 28 110
8 29 73
8 30 41
8 31 81
8 32 118
8 33 82
8 34 38
8 35 37
8 36 29
8 37 54
8 38 103
8 39 102
9 0 55
9 1 79
9 2 39
9 3 47
9 4 70
9 5 97
9 6 62
9 7 7
9 8 25
9 9 36
9 10 48
9 11 74
9 12 25
9 13 49
9 14 78
9 15 119
9 16 52
9 17 43
9 18 68
9 19 84
9 20 43
9 21 15
9 22 5
9 23 44
9 24 34
9 25 24
9 26 39
9 27 48
9 28 62
9 29 7
9 30 54
9 31 22
9 32 108
9 33 37
9 34 43
9 35 45
9 36 95
9 37 29
9 38 37
9 39 92
10 0 76
10 1 103
10 2 99
10 3 59
10 4 23
10 5 90
10 6 32
10 7 86
10 8 119
10 9 57
10 10 72
10 11 35
10 12 68
10 13 100
10 14 54
10 15 95
10 16 41
10 17 50
10 18 43
10 19 20
10 20 87
10 21 90
10 22 97
10 23 50
10 24 110
10 25 115
10 26 133
10 27 143
10 28 139
10 29 102
10 30 39
10 31 110
10 32 85
10 33 111
10 34 50
10 35 68
10 36 6
10 37 83
10 38 132
10 39 69
11 0 69
11 1 62
11 2 46
11 3 99
11 4 122
11 5 80
11 6 113
11 7 59
11 8 40
11 9 88
11 10 74
11 11 126
11 12 77
11 13 45
11 14 91
11 15 102
11 16 104
11 17 95
11 18 119
11 19 135
11 20 60
11 21 55
11 22 48
11 23 95
11 24 51
11 25 41
11 26 38
11 27 16
11 28 45
11 29 43
11 30 106
11 31 35
11 32 92
11 33 34
11 34 95
11 35 80
11 36 146
11 37 62
11 38 13
11 39 78
12 0 93
12 1 66
12 2 70
12 3 123
12 4 146
12 5 80
12 6 137
12 7 83
12 8 50
12 9 112
12 10 99
12 11 150
12 12 101
12 13 69
12 14 116
12 15 102
12 16 128
12 17 119
12 18 143
12 19 159
12 20 83
12 21 79
12 22 72
12 23 120
12 24 59
12 25 54
12 26 38
12 27 26
12 28 45
12 29 67
12 30 130
12 31 59
12 32 97
12 33 59
12 34 119
12 35 104
12 36 171
12 37 87
12 38 38
12 39 102
13 0 48
13 1 71
13 2 49
13 3 43
13 4 26
13 5 89
13 6 17
13 7 36
13 8 69
13 9 7
13 10 56
13 11 30
13 12 25
13 13 49
13 14 70
13 15 111
13 16 8
13 17 17
13 18 59
13 19 39
13 20 51
13 21 40
13 22 47
13 23 30
13 24 60
13 25 65
13 26 83
13 27 92
13 28 88
13 29 51
13 30 24
13 31 59
13 32 101
13 33 60
13 34 21
13 35 52
13 36 51
13 37 32
13 38 81
13 39 85
14 0 28
14 1 29
14 2 45
14 3 120
14 4 67
14 5 16
14 6 77
14 7 87
14 8 107
14 9 69
14 10 132
14 11 96
14 12 102
14 13 35
14 14 20
14 15 34
14 16 74
14 17 94
14 18 47
14 19 81
14 20 127
14 21 99
14 22 90
14 23 107
14 24 118
14 25 108
14 26 106
14 27 83
14 28 65
14 29 87
14 30 52
14 31 61
14 32 24
14 33 46
14 34 55
14 35 129
14 36 75
14 37 55
14 38 80
14 39 8
15 0 50
15 1 41
15 2 27
15 3 80
15 4 103
15 5 58
15 6 94
15 7 41
15 8 61
15 9 69
15 10 86
15 11 107
15 12 58
15 13 26
15 14 72
15 15 81
15 16 85
15 17 76
15 18 100
15 19 116
15 20 81
15 21 53
15 22 43
15 23 76
15 24 72
15 25 62
15 26 60
15 27 37
15 28 24
15 29 40
15 30 87
15 31 16
15 32 70
15 33 15
15 34 76
15 35 83
15 36 127
15 37 43
15 38 34
15 39 59
16 0 50
16 1 74
16 2 33
16 3 74
16 4 97
16 5 91
16 6 88
16 7 34
16 8 28
16 9 63
16 10 53
16 11 101
16 12 52
16 13 43
16 14 73
16 15 114
16 16 79
16 17 70
16 18 94
16 19 110
16 20 48
16 21 30
16 22 23
16 23 71
16 24 39
16 25 29
16 26 27
16 27 21
16 28 57
16 29 19
16 30 81
16 31 17
16 32 103
16 33 32
16 34 70
16 35 55
16 36 122
16 37 38
16 38 10
16 39 87
17 0 32
17 1 22
17 2 18
17 3 93
17 4 85
17 5 39
17 6 77
17 7 60
17 8 80
17 9 51
17 10 105
17 11 89
17 12 75
17 13 9
17 14 55
17 15 61
17 16 67
17 17 67
17 18 82
17 19 98
17 20 100
17 21 72
17 22 63
17 23 80
17 24 91
17 25 81
17 26 79
17 27 56
17 28 29
17 29 60
17 30 69
17 31 34
17 32 51
17 33 19
17 34 58
17 35 102
17 36 110
17 37 28
17 38 53
17 39 42
18 0 60
18 1 84
18 2 44
18 3 42
18 4 65
18 5 102
18 6 57
18 7 2
18 8 30
18 9 32
18 10 43
18 11 69
18 12 20
18 13 54
18 14 83
18 15 124
18 16 47
18 17 38
18 18 72
18 19 79
18 20 38
18 21 10
18 22 7
18 23 39
18 24 29
18 25 26
18 26 44
18 27 53
18 28 67
18 29 12
18 30 49
18 31 27
18 32 114
18 33 42
18 34 38
18 35 40
18 36 90
18 37 34
18 38 42
18 39 97
19 0 21
19 1 47
19 2 43
19 3 87
19 4 34
19 5 45
19 6 45
19 7 55
19 8 75
19 9 37
19 10 100
19 11 64
19 12 70
19 13 44
19 14 26
19 15 67
19 16 41
19 17 62
19 18 29
19 19 48
19 20 95
19 21 67
19 22 57
19 23 75
19 24 86
19 25 76
19 26 78
19 27 87
19 28 83
19 29 54
19 30 19
19 31 54
19 32 57
19 33 55
19 34 23
19 35 96
19 36 56
19 37 27
19 38 76
19 39 40

b_jr (transportation cost from centers C to regional centers R):
0 0 80
0 1 41
0 2 21
0 3 87
0 4 57
0 5 56
0 6 39
0 7 35
0 8 71
0 9 39
0 10 67
0 11 27
0 12 57
0 13 71
0 14 61
0 15 60
0 16 81
0 17 92
0 18 56
0 19 56
0 20 92
0 21 44
0 22 41
0 23 29
0 24 29
0 25 47
0 26 20
0 27 44
0 28 59
0 29 56
0 30 36
0 31 21
0 32 52
0 33 85
0 34 35
0 35 54
0 36 38
0 37 25
0 38 84
0 39 84
0 40 37
0 41 58
0 42 59
0 43 93
0 44 45
0 45 84
0 46 82
0 47 43
0 48 36
0 49 61
0 50 50
0 51 14
0 52 58
0 53 72
0 54 68
0 55 20
0 56 100
0 57 77
0 58 62
0 59 35
1 0 104
1 1 68
1 2 12
1 3 110
1 4 75
1 5 33
1 6 16
1 7 58
1 8 98
1 9 16
1 10 90
1 11 51
1 12 30
1 13 94
1 14 84
1 15 83
1 16 108
1 17 116
1 18 32
1 19 79
1 20 115
1 21 67
1 22 34
1 23 23
1 24 34
1 25 74
1 26 47
1 27 67
1 28 83
1 29 79
1 30 33
1 31 45
1 32 79
1 33 64
1 34 52
1 35 77
1 36 65
1 37 15
1 38 57
1 39 107
1 40 22
1 41 82
1 42 32
1 43 116
1 44 72
1 45 111
1 46 106
1 47 16
1 48 58
1 49 85
1 50 73
1 51 41
1 52 85
1 53 99
1 54 87
1 55 47
1 56 73
1 57 54
1 58 89
1 59 62
2 0 63
2 1 64
2 2 27
2 3 70
2 4 35
2 5 33
2 6 56
2 7 54
2 8 94
2 9 23
2 10 55
2 11 13
2 12 34
2 13 54
2 14 48
2 15 43
2 16 104
2 17 75
2 18 73
2 19 39
2 20 75
2 21 27
2 22 58
2 23 16
2 24 6
2 25 70
2 26 43
2 27 27
2 28 42
2 29 39
2 30 53
2 31 29
2 32 75
2 33 62
2 34 12
2 35 37
2 36 60
2 37 41
2 38 61
2 39 67
2 40 17
2 41 42
2 42 37
2 43 76
2 44 67
2 45 107
2 46 65
2 47 38
2 48 18
2 49 44
2 50 50
2 51 37
2 52 81
2 53 95
2 54 47
2 55 43
2 56 77
2 57 54
2 58 85
2 59 58
3 0 10
3 1 108
3 2 102
3 3 4
3 4 87
3 5 86
3 6 131
3 7 56
3 8 42
3 9 98
3 10 24
3 11 63
3 12 86
3 13 27
3 14 30
3 15 41
3 16 61
3 17 34
3 18 147
3 19 71
3 20 57
3 21 53
3 22 133
3 23 91
3 24 80
3 25 62
3 26 100
3 27 47
3 28 61
3 29 85
3 30 128
3 31 69
3 32 41
3 33 115
3 34 64
3 35 37
3 36 70
3 37 116
3 38 113
3 39 69
3 40 92
3 41 72
3 42 89
3 43 48
3 44 73
3 45 58
3 46 8
3 47 113
3 48 66
3 49 51
3 50 41
3 51 78
3 52 77
3 53 73
3 54 98
3 55 80
3 56 129
3 57 107
3 58 70
3 59 92
4 0 41
4 1 55
4 2 74
4 3 48
4 4 110
4 5 109
4 6 81
4 7 20
4 8 19
4 9 92
4 10 28
4 11 61
4 12 109
4 13 50
4 14 26
4 15 64
4 16 28
4 17 57
4 18 95
4 19 94
4 20 80
4 21 76
4 22 80
4 23 82
4 24 81
4 25 9
4 26 47
4 27 48
4 28 84
4 29 108
4 30 75
4 31 45
4 32 11
4 33 138
4 34 87
4 35 51
4 36 17
4 37 63
4 38 136
4 39 92
4 40 90
4 41 95
4 42 112
4 43 71
4 44 20
4 45 31
4 46 43
4 47 96
4 48 89
4 49 74
4 50 24
4 51 38
4 52 24
4 53 20
4 54 121
4 55 31
4 56 152
4 57 130
4 58 17
4 59 39
5 0 121
5 1 55
5 2 30
5 3 128
5 4 92
5 5 51
5 6 14
5 7 76
5 8 91
5 9 34
5 10 108
5 11 68
5 12 47
5 13 112
5 14 102
5 15 101
5 16 95
5 17 133
5 18 19
5 19 97
5 20 133
5 21 85
5 22 21
5 23 41
5 24 51
5 25 70
5 26 34
5 27 85
5 28 100
5 29 97
5 30 20
5 31 63
5 32 91
5 33 81
5 34 70
5 35 95
5 36 62
5 37 15
5 38 70
5 39 125
5 40 40
5 41 99
5 42 45
5 43 134
5 44 59
5 45 98
5 46 123
5 47 29
5 48 76
5 49 102
5 50 91
5 51 54
5 52 72
5 53 86
5 54 105
5 55 52
5 56 86
5 57 72
5 58 76
5 59 49
6 0 31
6 1 66
6 2 66
6 3 37
6 4 102
6 5 100
6 6 89
6 7 14
6 8 27
6 9 83
6 10 17
6 11 53
6 12 101
6 13 41
6 14 18
6 15 56
6 16 36
6 17 49
6 18 105
6 19 85
6 20 71
6 21 68
6 22 91
6 23 73
6 24 73
6 25 20
6 26 58
6 27 39
6 28 76
6 29 99
6 30 86
6 31 37
6 32 8
6 33 129
6 34 79
6 35 42
6 36 28
6 37 74
6 38 128
6 39 84
6 40 81
6 41 87
6 42 104
6 43 63
6 44 31
6 45 40
6 46 33
6 47 87
6 48 81
6 49 66
6 50 16
6 51 36
6 52 35
6 53 30
6 54 112
6 55 38
6 56 144
6 57 121
6 58 28
6 59 49
7 0 31
7 1 76
7 2 70
7 3 37
7 4 47
7 5 49
7 6 99
7 7 41
7 8 81
7 9 66
7 10 43
7 11 31
7 12 53
7 13 12
7 14 35
7 15 2
7 16 91
7 17 33
7 18 115
7 19 31
7 20 32
7 21 15
7 22 101
7 23 59
7 24 48
7 25 57
7 26 68
7 27 15
7 28 22
7 29 45
7 30 96
7 31 37
7 32 62
7 33 75
7 34 30
7 35 11
7 36 48
7 37 84
7 38 74
7 39 29
7 40 60
7 41 32
7 42 56
7 43 34
7 44 55
7 45 94
7 46 33
7 47 80
7 48 26
7 49 11
7 50 37
7 51 46
7 52 68
7 53 82
7 54 58
7 55 48
7 56 90
7 57 67
7 58 72
7 59 59
8 0 64
8 1 96
8 2 90
8 3 70
8 4 27
8 5 69
8 6 119
8 7 74
8 8 114
8 9 86
8 10 76
8 11 51
8 12 73
8 13 45
8 14 68
8 15 30
8 16 124
8 17 38
8 18 135
8 19 22
8 20 15
8 21 34
8 22 120
8 23 79
8 24 68
8 25 90
8 26 88
8 27 47
8 28 19
8 29 23
8 30 115
8 31 57
8 32 95
8 33 42
8 34 50
8 35 44
8 36 81
8 37 104
8 38 62
8 39 5
8 40 79
8 41 20
8 42 76
8 43 24
8 44 88
8 45 127
8 46 66
8 47 100
8 48 44
8 49 21
8 50 70
8 51 66
8 52 101
8 53 115
8 54 25
8 55 68
8 56 57
8 57 48
8 58 105
8 59 79
9 0 39
9 1 58
9 2 52
9 3 46
9 4 76
9 5 75
9 6 81
9 7 12
9 8 52
9 9 58
9 10 25
9 11 28
9 12 76
9 13 29
9 14 19
9 15 31
9 16 62
9 17 51
9 18 97
9 19 60
9 20 50
9 21 43
9 22 82
9 23 48
9 24 48
9 25 28
9 26 50
9 27 14
9 28 51
9 29 74
9 30 77
9 31 19
9 32 33
9 33 104
9 34 54
9 35 17
9 36 20
9 37 66
9 38 103
9 39 58
9 40 56
9 41 62
9 42 79
9 43 52
9 44 26
9 45 65
9 46 41
9 47 62
9 48 55
9 49 41
9 50 8
9 51 28
9 52 39
9 53 53
9 54 87
9 55 30
9 56 119
9 57 96
9 58 43
9 59 41
10 0 23
10 1 121
10 2 115
10 3 22
10 4 63
10 5 94
10 6 144
10 7 69
10 8 66
10 9 111
10 10 37
10 11 76
10 12 98
10 13 33
10 14 43
10 15 44
10 16 75
10 17 11
10 18 160
10 19 48
10 20 33
10 21 60
10 22 146
10 23 104
10 24 93
10 25 75
10 26 113
10 27 60
10 28 44
10 29 60
10 30 141
10 31 82
10 32 54
10 33 91
10 34 75
10 35 50
10 36 83
10 37 129
10 38 89
10 39 45
10 40 105
10 41 48
10 42 101
10 43 24
10 44 86
10 45 79
10 46 21
10 47 125
10 48 69
10 49 42
10 50 54
10 51 91
10 52 90
10 53 85
10 54 74
10 55 93
10 56 105
10 57 82
10 58 83
10 59 105
11 0 35
11 1 85
11 2 79
11 3 29
11 4 114
11 5 113
11 6 107
11 7 33
11 8 17
11 9 96
11 10 23
11 11 66
11 12 113
11 13 54
11 14 31
11 15 69
11 16 37
11 17 61
11 18 124
11 19 98
11 20 84
11 21 81
11 22 109
11 23 86
11 24 86
11 25 39
11 26 76
11 27 52
11 28 89
11 29 112
11 30 104
11 31 50
11 32 17
11 33 142
11 34 92
11 35 55
11 36 47
11 37 93
11 38 141
11 39 96
11 40 94
11 41 99
11 42 116
11 43 75
11 44 50
11 45 35
11 46 33
11 47 100
11 48 93
11 49 78
11 50 29
11 51 55
11 52 53
11 53 49
11 54 125
11 55 56
11 56 157
11 57 134
11 58 47
11 59 68
12 0 14
12 1 91
12 2 85
12 3 20
12 4 65
12 5 64
12 6 113
12 7 39
12 8 64
12 9 81
12 10 25
12 11 46
12 12 68
12 13 5
12 14 18
12 15 19
12 16 73
12 17 18
12 18 130
12 19 49
12 20 35
12 21 31
12 22 115
12 23 73
12 24 63
12 25 45
12 26 82
12 27 30
12 28 39
12 29 63
12 30 110
12 31 52
12 32 45
12 33 93
12 34 44
12 35 19
12 36 53
12 37 99
12 38 91
12 39 47
12 40 74
12 41 50
12 42 70
12 43 26
12 44 56
12 45 76
12 46 15
12 47 95
12 48 44
12 49 29
12 50 23
12 51 61
12 52 59
12 53 64
12 54 76
12 55 63
12 56 107
12 57 85
12 58 54
12 59 74
13 0 73
13 1 64
13 2 17
13 3 80
13 4 45
13 5 32
13 6 46
13 7 55
13 8 95
13 9 15
13 10 60
13 11 21
13 12 33
13 13 64
13 14 54
13 15 53
13 16 104
13 17 85
13 18 63
13 19 49
13 20 85
13 21 37
13 22 48
13 23 6
13 24 5
13 25 71
13 26 44
13 27 37
13 28 53
13 29 49
13 30 43
13 31 30
13 32 76
13 33 61
13 34 22
13 35 47
13 36 61
13 37 31
13 38 60
13 39 77
13 40 13
13 41 52
13 42 36
13 43 86
13 44 68
13 45 108
13 46 75
13 47 28
13 48 28
13 49 55
13 50 51
13 51 38
13 52 82
13 53 96
13 54 57
13 55 44
13 56 76
13 57 53
13 58 86
13 59 59
14 0 103
14 1 18
14 2 44
14 3 109
14 4 80
14 5 79
14 6 51
14 7 57
14 8 72
14 9 62
14 10 89
14 11 50
14 12 79
14 13 93
14 14 83
14 15 82
14 16 58
14 17 115
14 18 33
14 19 78
14 20 114
14 21 66
14 22 19
14 23 52
14 24 51
14 25 51
14 26 13
14 27 66
14 28 82
14 29 78
14 30 16
14 31 44
14 32 72
14 33 107
14 34 57
14 35 76
14 36 43
14 37 33
14 38 106
14 39 107
14 40 59
14 41 81
14 42 82
14 43 116
14 44 40
14 45 62
14 46 105
14 47 65
14 48 59
14 49 84
14 50 72
14 51 35
14 52 36
14 53 50
14 54 91
14 55 33
14 56 122
14 57 99
14 58 43
14 59 22
15 0 144
15 1 46
15 2 52
15 3 150
15 4 115
15 5 73
15 6 26
15 7 98
15 8 113
15 9 56
15 10 130
15 11 91
15 12 69
15 13 134
15 14 124
15 15 123
15 16 93
15 17 155
15 18 7
15 19 119
15 20 155
15 21 107
15 22 21
15 23 63
15 24 74
15 25 92
15 26 54
15 27 107
15 28 123
15 29 119
15 30 26
15 31 85
15 32 113
15 33 104
15 34 92
15 35 117
15 36 84
15 37 38
15 38 82
15 39 147
15 40 62
15 41 122
15 42 66
15 43 156
15 44 81
15 45 96
15 46 145
15 47 41
15 48 98
15 49 125
15 50 113
15 51 76
15 52 77
15 53 81
15 54 127
15 55 74
15 56 98
15 57 94
15 58 84
15 59 62
16 0 34
16 1 62
16 2 56
16 3 41
16 4 92
16 5 91
16 6 85
16 7 10
16 8 36
16 9 74
16 10 21
16 11 44
16 12 92
16 13 32
16 14 15
16 15 47
16 16 46
16 17 46
16 18 102
16 19 76
16 20 62
16 21 59
16 22 87
16 23 64
16 24 64
16 25 17
16 26 54
16 27 30
16 28 67
16 29 90
16 30 82
16 31 28
16 32 17
16 33 120
16 34 70
16 35 33
16 36 24
16 37 71
16 38 119
16 39 74
16 40 72
16 41 78
16 42 94
16 43 53
16 44 27
16 45 49
16 46 36
16 47 78
16 48 71
16 49 56
16 50 7
16 51 32
16 52 31
16 53 37
16 54 103
16 55 34
16 56 135
16 57 112
16 58 27
16 59 46
17 0 14
17 1 83
17 2 77
17 3 21
17 4 83
17 5 82
17 6 105
17 7 31
17 8 45
17 9 73
17 10 7
17 11 38
17 12 83
17 13 23
17 14 4
17 15 38
17 16 55
17 17 30
17 18 122
17 19 67
17 20 53
17 21 50
17 22 107
17 23 65
17 24 55
17 25 37
17 26 74
17 27 22
17 28 58
17 29 81
17 30 102
17 31 44
17 32 26
17 33 111
17 34 61
17 35 24
17 36 45
17 37 91
17 38 110
17 39 65
17 40 66
17 41 69
17 42 85
17 43 44
17 44 48
17 45 58
17 46 16
17 47 87
17 48 62
17 49 47
17 50 15
